431,8312,8528,11535,10946
432,8312,11535,9282,10946
433,8524,11535,8528,9281
434,8312,8524,11535,8528
435,7295,8313,11535,8522
436,8522,11535,8528,10946
437,7295,8522,11535,9281
438,7932,9053,11534,10713
439,7931,11534,7932,9053
440,9053,9525,11534,9538
441,7931,9525,11534,9053
442,9525,9679,11534,9538
443,7931,11534,9525,9679
444,9053,9538,11534,10713
445,7662,9538,11534,9679
446,7662,11534,7985,9679
447,7931,7985,11534,9679
448,7662,8826,11534,9538
449,7662,8826,7985,11534
450,7931,11534,7985,9056
451,8826,9056,11534,10713
452,7985,11534,8826,9056
453,7125,7172,11533,10868
454,4407,11533,7125,7172
455,7172,7856,11533,9410
456,4407,11533,7172,8905
457,7172,11533,7856,8905
458,5591,7125,11533,10868
459,4407,7125,11533,5591
460,5782,11533,10692,10868
461,5782,11533,7856,10692
462,5781,7856,11533,8905
463,4407,5781,11533,8905
464,4407,5591,11533,5781
465,5591,11533,5782,10868
466,5591,5782,11533,5633
467,5591,11533,5781,5633
468,5633,5781,7856,11533
469,3889,5138,11532,11161
470,3889,11532,5138,6897
471,4507,11532,10052,11161
472,5138,10052,11532,11161
473,4507,11532,6627,10052
474,5138,6627,11532,10052
475,5138,11532,6627,6897
476,3889,11532,6925,11161
477,6925,11532,7430,7431
478,6897,7430,11532,7431
479,4507,6627,11532,8201
480,4507,11532,7431,8201
481,6627,7431,11532,8201
482,4507,6925,11532,11161
483,4507,11532,6925,7431
484,6072,11531,6841,10010
485,6072,6841,11531,6859
486,6732,6841,11531,10010
487,6732,11531,6841,6850
488,3944,11531,6732,6850
489,3979,4601,11531,10010
490,3979,11531,4601,6859
491,4176,11531,6841,6859
492,6841,11531,6849,6850
493,3944,5412,11531,6850
494,5412,6849,11531,6850
495,4601,6732,11531,10010
496,3944,11531,4601,6732
497,4176,6841,11531,6849
498,3066,11531,3944,5412
499,3066,4176,11531,5412
500,4176,11531,5412,6849
501,3066,3944,11531,4601
502,4767,11530,5151,11260
503,5151,11530,10903,11260
504,10482,10903,11530,11260
505,4767,11530,6697,7676
506,4767,5155,6697,11530
507,4767,5151,11530,7676
508,7676,7972,11530,9083
509,6638,11530,7676,7972
510,6697,11530,9083,7676
511,5155,6697,11530,9083
512,5151,6638,11530,7676
513,6303,11530,10482,10903
514,5155,6303,11530,10482
515,5151,11530,7705,10903
516,5155,11530,8834,9083
517,5155,11530,6303,8834
518,6303,11530,6638,7972
519,5151,11530,6638,7705
520,6303,7705,11530,10903
521,6303,6638,11530,7705
522,2903,11529,6774,10408
523,2903,11529,3035,6774
524,2903,2978,11529,10408
525,2903,2978,3035,11529
526,4066,6774,11529,10408
527,3035,11529,4066,6774
528,2857,3035,11529,4066
529,2857,3035,2978,11529
530,2897,3036,11529,4705
531,2897,11529,4086,4705
532,4066,11529,6786,10408
533,2857,4066,11529,4674
534,2857,11529,3036,4674
535,2857,11529,2978,3036
536,3036,4674,11529,4705
537,2897,11529,2978,4086
538,2897,2978,11529,3036
539,2978,4086,11529,10408
540,4086,6786,11529,10408
541,4066,11529,4674,6786
542,4674,11529,4705,6786
543,4086,4705,11529,6786
544,1465,11528,10064,10085
545,5468,10064,11528,10085
546,4562,5468,11528,10085
547,1465,11528,1466,10064
548,1465,11528,1537,1466
549,1466,11528,4520,10064
550,4520,11528,5468,10064
551,1537,11528,4562,6308
552,4562,11528,5468,6308
553,4520,11528,5147,5468
554,1467,4520,11528,5147
555,1466,11528,1467,4520
556,5147,5468,11528,6308
557,1466,11528,1537,1538
558,1467,11528,1538,5147
559,1466,1467,11528,1538
560,1538,5147,11528,6308
561,2600,11527,5615,11068
562,2497,2600,11527,5615
563,3707,5615,11527,7054
564,2498,11527,2600,11068
565,2497,2498,11527,2600
566,5615,11527,9786,11068
567,5615,11527,7054,9786
568,2395,2497,11527,3707
569,3707,11527,4423,7054
570,2395,3707,11527,4423
571,4384,9786,11527,11068
572,4384,7054,11527,9786
573,2395,2498,11527,2497
574,2498,4384,11527,11068
575,7472,11526,8629,9231
576,8169,8629,11526,9231
577,6013,6875,11526,8169
578,6013,11526,6875,8167
579,7472,8167,11526,9231
580,5182,6015,11526,7472
581,6058,11526,6875,8169
582,5440,11526,6015,6875
583,5440,6058,11526,6875
584,6015,6875,11526,8167
585,6015,11526,7472,8167
586,5105,6595,11525,9243
587,5105,11525,6595,7714
588,5518,5897,11525,9243
589,4446,11525,5518,5897
590,6595,6610,11525,9243
591,6595,11525,6610,7714
592,5105,5916,11525,7714
593,4446,11525,5517,5518
594,5105,11525,5933,9243
595,5105,11525,5916,5933
596,3800,11525,5916,7714
597,3800,6610,11525,7714
598,5518,11525,6610,9243
599,5517,5518,11525,6610
600,3800,5916,11525,10369
601,5916,5933,11525,10369
602,3800,11525,5517,10369
603,3800,5517,11525,6610
604,3744,11524,5047,9865
605,4377,5047,11524,9865
606,2284,4377,11524,9865
607,2186,11524,3744,9865
608,3681,3744,11524,5047
609,3681,11524,4377,5047
610,2284,7065,11524,4377
611,2186,2284,2288,11524
612,3681,4377,11524,7065
613,2183,11524,2288,3681
614,2183,2288,11524,2186
615,2288,3681,11524,7065
616,6331,11523,8246,8572
617,6331,11523,6530,8246
618,6331,6530,11523,11215
619,6331,11523,8237,11215
620,6530,7378,11523,11215
621,7378,8237,11523,11215
622,7852,8246,11523,8572
623,6331,8237,11523,8572
624,6530,11523,7378,9244
625,7378,11523,8581,9244
626,7378,11523,8237,8581
627,6530,7852,11523,9244
628,7852,11523,8569,8572
629,7852,8569,11523,9244
630,4374,11522,9806,10473
